Mouse;Human
1600012H06Rik;C6orf120
1700123O20Rik;C14orf119
1810009A15Rik;C11orf98
1810013L24Rik;C16orf72
2610507B11Rik;KIAA0100
4933434E20Rik;C1orf43
A430005L14Rik;C1orf174
Aamp;AAMP
Aar2;AAR2
Aars;AARS
Aarsd1;AARSD1
Aasdhppt;AASDHPPT
Abce1;ABCE1
Abcf2;ABCF2
Acad9;ACAD9
Acbd3;ACBD3
Acbd6;ACBD6
Actr1a;ACTR1A
Actr1b;ACTR1B
Actr2;ACTR2
Adh5;ADH5
Adipor2;ADIPOR2
Adrm1;ADRM1
Agap3;AGAP3
Aggf1;AGGF1
Ahsa1;AHSA1
Aida;AIDA
Aip;AIP
Ak2;AK2
Ak3;AK3
Akirin1;AKIRIN1
Akirin2;AKIRIN2
Akt1;AKT1
Aldh9a1;ALDH9A1
Alkbh5;ALKBH5
Amfr;AMFR
Anapc2;ANAPC2
Ankfy1;ANKFY1
Ankle2;ANKLE2
Ankrd10;ANKRD10
Ankrd40;ANKRD40
Ankrd52;ANKRD52
Anks1;ANKS1A
Anp32a;ANP32A
Anp32b;ANP32B
Ap1g1;AP1G1
Ap2m1;AP2M1
Ap3m1;AP3M1
Ap3s2;AP3S2
Apeh;APEH
Aph1a;APH1A
Api5;API5
Appl1;APPL1
Araf;ARAF
Arcn1;ARCN1
Arf1;ARF1
Arf4;ARF4
Arfgap2;ARFGAP2
Arfgap3;ARFGAP3
Arfgef2;ARFGEF2
Arhgap1;ARHGAP1
Arih2;ARIH2
Arl1;ARL1
Arl14ep;ARL14EP
Arl6ip1;ARL6IP1
Arl8b;ARL8B
Armc1;ARMC1
Armcx3;ARMCX3
Arnt;ARNT
Arpc2;ARPC2
Arpp19;ARPP19
Asna1;ASNA1
Asnsd1;ASNSD1
Asxl1;ASXL1
Atf6;ATF6
Atf6b;ATF6B
Atg101;ATG101
Atg3;ATG3
Atp5j;ATP5PF
Atp6ap2;ATP6AP2
Atp6v0e;ATP6V0E1
Atpaf1;ATPAF1
AU040320;KIAA0319L
B4galt7;B4GALT7
Bad;BAD
Bag1;BAG1
Bag6;BAG6
Banf1;BANF1
Bap1;BAP1
Baz1b;BAZ1B
BC004004;C6orf89
BC005624;C9orf78
Bcap31;BCAP31
Bccip;BCCIP
Bckdk;BCKDK
Bet1l;BET1L
Bfar;BFAR
Bloc1s2;BLOC1S2
Bmi1;BMI1
Bnip3l;BNIP3L
Bod1;BOD1
Borcs7;BORCS7
Brd3;BRD3
Brd4;BRD4
Brk1;BRK1
Brms1;BRMS1
Bsdc1;BSDC1
Btbd1;BTBD1
Btbd2;BTBD2
Btf3;BTF3
Btf3l4;BTF3L4
Bub3;BUB3
Bud31;BUD31
Bzw1;BZW1
Cab39;CAB39
Cactin;CACTIN
Calm1;CALM1
Calr;CALR
Cand1;CAND1
Casc3;CASC3
Cbx1;CBX1
Cby1;CBY1
Ccar2;CCAR2
Ccdc124;CCDC124
Ccdc22;CCDC22
Ccdc47;CCDC47
Ccdc50;CCDC50
Ccdc97;CCDC97
Ccni;CCNI
Ccnk;CCNK
Cct2;CCT2
Cct4;CCT4
Ccz1;CCZ1
Cd2bp2;CD2BP2
Cdc123;CDC123
Cdc16;CDC16
Cdc23;CDC23
Cdc26;CDC26
Cdc34;CDC34
Cdc37;CDC37
Cdc37l1;CDC37L1
Cdc42;CDC42
Cdc42se1;CDC42SE1
Cdc5l;CDC5L
Cdk4;CDK4
Cdkn1b;CDKN1B
Cebpz;CEBPZ
Cebpzos;CEBPZOS
Cfdp1;CFDP1
Cfl1;CFL1
Cggbp1;CGGBP1
Chchd1;CHCHD1
Chmp2a;CHMP2A
Chmp2b;CHMP2B
Chmp3;CHMP3
Chmp4b;CHMP4B
Chmp6;CHMP6
Chp1;CHP1
Chtop;CHTOP
Cipc;CIPC
Clns1a;CLNS1A
Clpp;CLPP
Clptm1;CLPTM1
Clptm1l;CLPTM1L
Cmas;CMAS
Cmpk1;CMPK1
Cmtr1;CMTR1
Cnbp;CNBP
Cnot11;CNOT11
Cnppd1;CNPPD1
Coa3;COA3
Coa5;COA5
Coa6;COA6
Coasy;COASY
Cog3;COG3
Cog7;COG7
Commd7;COMMD7
Comt;COMT
Copa;COPA
Copb2;COPB2
Cope;COPE
Copg1;COPG1
Cops4;COPS4
Cops5;COPS5
Cops6;COPS6
Copz1;COPZ1
Coq5;COQ5
Cox15;COX15
Cox17;COX17
Crebbp;CREBBP
Crk;CRK
Crkl;CRKL
Crtc3;CRTC3
Csnk1a1;CSNK1A1
Csnk1d;CSNK1D
Csnk1g2;CSNK1G2
Csnk2a1;CSNK2A1
Csnk2a2;CSNK2A2
Csnk2b;CSNK2B
Ctbp1;CTBP1
Ctdnep1;CTDNEP1
Ctnnb1;CTNNB1
Ctnnbl1;CTNNBL1
Cuedc2;CUEDC2
Cul1;CUL1
Cul3;CUL3
Cul4b;CUL4B
Cuta;CUTA
Cyb5b;CYB5B
D230025D16Rik;C16orf70
Dad1;DAD1
Dap3;DAP3
Dars;DARS
Dcaf12;DCAF12
Dcaf15;DCAF15
Dcaf5;DCAF5
Dctn2;DCTN2
Dctn3;DCTN3
Dctn4;DCTN4
Dctpp1;DCTPP1
Ddb1;DDB1
Ddx1;DDX1
Ddx17;DDX17
Ddx18;DDX18
Ddx19a;DDX19A
Ddx23;DDX23
Ddx27;DDX27
Ddx47;DDX47
Ddx51;DDX51
Deaf1;DEAF1
Dennd6a;DENND6A
Denr;DENR
Derl1;DERL1
Dhps;DHPS
Dhx15;DHX15
Dhx29;DHX29
Dhx38;DHX38
Dhx40;DHX40
Dimt1;DIMT1
Dnaja1;DNAJA1
Dnaja2;DNAJA2
Dnaja3;DNAJA3
Dnajb11;DNAJB11
Dnajb6;DNAJB6
Dnajc1;DNAJC1
Dnajc11;DNAJC11
Dnajc13;DNAJC13
Dnajc3;DNAJC3
Dnajc4;DNAJC4
Dnajc5;DNAJC5
Dnajc7;DNAJC7
Dnajc8;DNAJC8
Dnajc9;DNAJC9
Dnlz;DNLZ
Dnttip1;DNTTIP1
Dpy30;DPY30
Drg1;DRG1
Dusp11;DUSP11
Dync1li1;DYNC1LI1
Dynlrb1;DYNLRB1
E2f4;E2F4
E4f1;E4F1
Eapp;EAPP
Ebag9;EBAG9
Ebna1bp2;EBNA1BP2
Edc3;EDC3
Eef1d;EEF1D
Eefsec;EEFSEC
Egln2;EGLN2
Eif1ax;EIF1AX
Eif1b;EIF1B
Eif2ak1;EIF2AK1
Eif2b1;EIF2B1
Eif2d;EIF2D
Eif2s1;EIF2S1
Eif2s2;EIF2S2
Eif3a;EIF3A
Eif3b;EIF3B
Eif3d;EIF3D
Eif3e;EIF3E
Eif3g;EIF3G
Eif3i;EIF3I
Eif3k;EIF3K
Eif3m;EIF3M
Eif4a1;EIF4A1
Eif4a3;EIF4A3
Eif4b;EIF4B
Eif4g2;EIF4G2
Eif4h;EIF4H
Eif5a;EIF5A
Eif5b;EIF5B
Elavl1;ELAVL1
Elk1;ELK1
Ell;ELL
Elof1;ELOF1
Emc2;EMC2
Emc3;EMC3
Emc4;EMC4
Emc6;EMC6
Emc7;EMC7
Emc8;EMC8
Emd;EMD
Ensa;ENSA
Epn1;EPN1
Eral1;ERAL1
Ergic1;ERGIC1
Ergic3;ERGIC3
Erh;ERH
Eri3;ERI3
Erlec1;ERLEC1
Erp29;ERP29
Erp44;ERP44
Etf1;ETF1
Exoc2;EXOC2
Exosc4;EXOSC4
Faf2;FAF2
Fam122a;FAM122A
Fam160b1;FAM160B1
Fam168a;FAM168A
Fam168b;FAM168B
Fam192a;FAM192A
Fam20b;FAM20B
Fam32a;FAM32A
Fam50a;FAM50A
Fam98a;FAM98A
Fbl;FBL
Fbxl3;FBXL3
Fbxo28;FBXO28
Fbxo42;FBXO42
Fbxw4;FBXW4
Fbxw5;FBXW5
