Ensembl ID;Gene;Chromosome_scaffold;Transcript start;Transcript end
ENSMUST00000007921;0610009B22Rik;11;51685386;51688653
ENSMUST00000077783;0610030E20Rik;6;72347334;72353148
ENSMUST00000192144;0610030E20Rik;CHR_MG184_PATCH;72347333;72353147
ENSMUST00000125107;0610037L13Rik;4;107889899;107897802
ENSMUST00000106727;0610037L13Rik;4;107889863;107897118
ENSMUST00000053981;1110012L19Rik;X;70385877;70389417
ENSMUST00000071792;1110038F14Rik;15;76948506;76950729
ENSMUST00000038830;1110059E24Rik;19;21597312;21652976
ENSMUST00000118422;1110059G10Rik;9;122947535;122950953
ENSMUST00000035154;1110059G10Rik;9;122945089;122951000
ENSMUST00000100850;1500011B03Rik;5;114822439;114823445
ENSMUST00000052691;1600012H06Rik;17;14943184;14945936
ENSMUST00000164837;1600012H06Rik;17;14943230;14945934
ENSMUST00000064853;1700030K09Rik;8;72443880;72461001
ENSMUST00000038539;1700123O20Rik;14;54686216;54690741
ENSMUST00000096251;1810009A15Rik;19;8888853;8890881
ENSMUST00000023150;1810013L24Rik;16;8830100;8858922
ENSMUST00000060108;1810030O07Rik;X;12654879;12673668
ENSMUST00000031538;2210016L21Rik;5;114942158;114949783
ENSMUST00000168779;2210408I21Rik;13;77135540;77613784
ENSMUST00000020341;2310011J03Rik;10;80318254;80320537
ENSMUST00000034464;2310022B05Rik;8;124635756;124663369
ENSMUST00000020719;2310033P09Rik;11;59208321;59210738
ENSMUST00000049138;2410131K14Rik;5;118245227;118266093
ENSMUST00000185219;2610001J05Rik;6;13869860;13871465
ENSMUST00000155856;2610001J05Rik;6;13869800;13871466
ENSMUST00000120722;2610002M06Rik;X;107782751;107816334
ENSMUST00000010421;2610507B11Rik;11;78261752;78290623
ENSMUST00000034465;2810004N23Rik;8;124838488;124863120
ENSMUST00000077376;2810006K23Rik;5;124328098;124341844
ENSMUST00000026092;3110040N11Rik;7;81782182;81789478
ENSMUST00000163392;3830406C13Rik;14;12284173;12303231
ENSMUST00000026519;4833420G17Rik;13;119462768;119486117
ENSMUST00000153065;4833439L19Rik;13;54551223;54565303
ENSMUST00000076991;4930453N24Rik;16;64762136;64771161
ENSMUST00000022786;4931414P19Rik;14;54583663;54605993
ENSMUST00000068798;4933434E20Rik;3;90052871;90062442
ENSMUST00000029551;4933434E20Rik;3;90062796;90068347
ENSMUST00000160640;4933434E20Rik;3;90052814;90063341
ENSMUST00000162114;4933434E20Rik;3;90052842;90060994
ENSMUST00000103225;5730455P16Rik;11;80360493;80378034
ENSMUST00000057256;6030458C11Rik;15;12808177;12824649
ENSMUST00000100655;9130401M01Rik;15;58022259;58034315
ENSMUST00000175726;9930021J03Rik;19;29714402;29805507
ENSMUST00000175764;9930021J03Rik;19;29715313;29743612
ENSMUST00000058393;A430005L14Rik;4;153957237;153961925
ENSMUST00000041551;Aagab;9;63602660;63644588
ENSMUST00000089519;Aak1;6;86849517;87003223
ENSMUST00000178235;Aamp;1;74279846;74284680
ENSMUST00000006462;Aamp;1;74279840;74284738
ENSMUST00000109570;Aar2;2;156547584;156568156
ENSMUST00000034441;Aars;8;111033902;111057664
ENSMUST00000024733;Aars2;17;45506841;45520843
ENSMUST00000070395;Aarsd1;11;101406839;101417615
ENSMUST00000051589;Aasdhppt;9;4294793;4309467
ENSMUST00000018841;Aatf;11;84422855;84513522
ENSMUST00000027396;Abcb6;1;75171717;75180392
ENSMUST00000033695;Abcb7;X;104280657;104413846
ENSMUST00000021666;Abcd4;12;84602653;84617370
ENSMUST00000080536;Abce1;8;79683462;79711740
ENSMUST00000043757;Abcf1;17;35956819;35969761
ENSMUST00000030795;Abcf2;5;24565345;24577467
ENSMUST00000003319;Abcf3;16;20548577;20561379
ENSMUST00000066983;Abhd10;16;45729725;45742955
ENSMUST00000154469;Abhd11;5;135009456;135012170
ENSMUST00000111216;Abhd11;5;135009152;135012131
ENSMUST00000007251;Abhd16a;17;35089291;35102987
ENSMUST00000117085;Abhd17c;7;84109356;84151893
ENSMUST00000028190;Abl1;2;31759943;31804227
ENSMUST00000166172;Abl2;1;156558987;156649568
ENSMUST00000032169;Abtb1;6;88835914;88841900
ENSMUST00000060513;Acad8;9;26974144;26999549
ENSMUST00000011492;Acad9;3;36065979;36092853
ENSMUST00000058033;Acap2;16;31092415;31201163
ENSMUST00000027780;Acbd3;1;180726043;180754204
ENSMUST00000080138;Acbd6;1;155558120;155572288
ENSMUST00000035560;Acbd6;1;155558122;155691330
ENSMUST00000097529;Acbd6;1;155558126;155587798
ENSMUST00000042608;Acd;8;105696419;105701084
ENSMUST00000033020;Acer3;7;98206389;98309538
ENSMUST00000138321;Acin1;14;54643288;54644210
ENSMUST00000102973;Aco1;4;40143081;40198338
ENSMUST00000103094;Acot8;2;164792768;164804882
ENSMUST00000090759;Acp6;3;97158777;97176574
ENSMUST00000029214;Actl6a;3;32708507;32726973
ENSMUST00000021479;Actr10;12;70937857;70964718
ENSMUST00000040270;Actr1a;19;46376811;46395747
ENSMUST00000043951;Actr1b;1;36698114;36710008
ENSMUST00000000137;Actr2;11;20062304;20112913
ENSMUST00000020109;Actr6;10;89711971;89732295
ENSMUST00000016115;Actr8;14;29978337;29993219
ENSMUST00000019944;Adat2;10;13552894;13563376
ENSMUST00000005964;Adh5;3;138443093;138455499
ENSMUST00000032272;Adipor2;6;119353150;119417704
ENSMUST00000045376;Adk;14;21052574;21448569
ENSMUST00000066743;Adnp2;18;80126311;80151482
ENSMUST00000002923;Adprh;16;38444030;38452703
ENSMUST00000102617;Adprhl2;4;126316047;126321703
ENSMUST00000116363;Adprm;11;67038041;67052570
ENSMUST00000061437;Adrm1;2;180171485;180176286
ENSMUST00000164806;Adsl;15;80948491;80969008
ENSMUST00000023043;Adsl;15;80948490;80970946
ENSMUST00000161335;Aebp2;6;140626882;140652826
ENSMUST00000032359;Aebp2;6;140622663;140655481
ENSMUST00000107421;Aen;7;78895934;78908381
ENSMUST00000001520;Afg3l1;8;123477903;123503916
ENSMUST00000024123;Agap3;5;24452177;24502047
ENSMUST00000197513;Agap3;5;24479753;24502037
ENSMUST00000022189;Aggf1;13;95350683;95375352
ENSMUST00000040603;Agl;3;116739999;116808166
ENSMUST00000044113;Ago2;15;73095844;73184935
