Ensembl ID;Genes;Transcript Start;Transcript End;Chromosome;CCDS.ID;RefSeq
ENSMUST00000000001;Gnai3;108107280;108146146;3;CCDS17751;NM_010306
ENSMUST00000000137;Actr2;20062304;20112913;11;CCDS24455;"NM_001362899; NM_146243"
ENSMUST00000000348;Rtca;116488963;116508208;3;CCDS17786;NM_025517
ENSMUST00000000356;Dazap2;100615349;100620761;15;CCDS27841;NM_011873
ENSMUST00000000365;Mcts1;38600655;38613426;X;CCDS30094;NM_026902
ENSMUST00000000384;Trappc10;78186725;78244641;10;CCDS35959;NM_001081055
ENSMUST00000000388;Ccm2;6546887;6596744;11;CCDS24422;"NM_146014; NM_001190343"
ENSMUST00000000394;Tbrg4;6616423;6626043;11;CCDS24423;
ENSMUST00000000449;Mkrn2;115601902;115622624;6;CCDS39600;NM_023290
ENSMUST00000000594;C1d;17257594;17269176;11;CCDS24451;"NM_001330649; NM_020558"
ENSMUST00000000619;Clcn4;7282309;7299533;7;CCDS20786;"NM_011334; NM_001357103"
ENSMUST00000000724;Kat2b;53566971;53672720;17;CCDS28880;"NM_020005; NM_001190846"
ENSMUST00000000767;Rpa1;75300350;75348310;11;CCDS48847;NM_001164223
ENSMUST00000000925;Smarcb1;75896769;75921617;10;CCDS23936;NM_011418
ENSMUST00000000985;Oxa1l;54360841;54369673;14;CCDS27086;NM_026936
ENSMUST00000001002;Heatr6;83753696;83783754;11;CCDS36259;NM_145432
ENSMUST00000001042;Ilf2;90476147;90488379;3;CCDS17530;NM_026374
ENSMUST00000001079;Sec24b;129982759;130060907;3;CCDS17840;NM_207209
ENSMUST00000001115;Grk6;55445338;55460927;13;CCDS49272;NM_001038018
ENSMUST00000001179;Pcnt;76351267;76442726;10;CCDS23944;NM_008787
ENSMUST00000001185;Gmcl1;86691768;86733383;6;CCDS20316;NM_011818
ENSMUST00000001186;Snrnp27;86675151;86684522;6;CCDS20315;NM_025665
ENSMUST00000001326;Sp1;102406380;102436404;15;CCDS37229;NM_013672
ENSMUST00000001416;Hars;36766528;36783205;18;CCDS29164;NM_008214
ENSMUST00000001419;Zmat2;36793876;36799666;18;CCDS37773;NM_025594
ENSMUST00000001451;Smg5;88336260;88362338;3;CCDS38480;NM_178246
ENSMUST00000001452;Cct3;88297116;88321767;3;CCDS17468;NM_009836
ENSMUST00000001460;Snd1;28480348;28888832;6;CCDS19953;NM_019776
